,documents,documents_processed,document_tokens,first_100_letters,documents_processed_2,url
260,,,,To view the groupby statistics like pandas df in excel,,
261,,,,Filter in excel,,
262,,,,Conditional Formatting in excel,,
263,,,,Sorting in excel,,
264,,,,Removing Duplicates in excel,,
265,,,,Pivot and Slicers in excel,,
266,,,,Refreshing all pivot tables,,
267,,,,Charts in excel,,
268,,,,Dashboard in excel,,
269,,,,Waterfall or birdge graph analysis,,
270,,,,Excel functions,,
271,,,,Concatenation of text in excel,,
272,,,,label value,,
273,,,,Tableau basics,,
274,,,,Best practices for visualization,,
275,,,,Panes of Tableau,,
276,,,,Trend line models in Tableau,,
277,,,,Creating Calculated field in Tableau,,
278,,,,Chart area of Tableau,,
279,,,,Chart types in Tableau,,
280,,,,Tableau Pills,,
281,,,,Tableau Desktop applications,,
282,,,,Components of a Dashboard,,
283,,,,COUNTD function,,
284,,,,Reference line and Reference band,,
285,,,,File extensions in Tableau,,
286,,,,Filters in Tableau,,
287,,,,Data blending ,,
288,,,,Data Types in Tableau,,
289,,,,KPI Basics,,
290,,,,KPI vs Metric,,
291,,,,Need of KPI for the company,,
292,,,,Types of Indicators,,
293,,,,Effectiveness and Efficiency,,
294,,,,Ways to develop KPI,,
295,,,,Three steps to a stronger KPI strategy,,
296,,,,Key Performance Indicators in practice,,
297,,,,Executive Dashboard ,,https://upload.wikimedia.org/wikipedia/commons/c/c7/3_Dashboards.JPG
298,,,,Possible dangers of industrial performance indicators,,
299,,,,SQL Basics,,
300,,,,List of relational database,,
301,,,,Difference between SQL and Python,,
302,,,,Basics of Relational Database (RDBMS),,
303,,,,Basics of Non-Relational Database,,
304,,,,Parts of SQL,,
305,,,,SQL Statements,,
306,,,,Practicing sql queries (with static data),,
307,,,,SQL Query/ Statements/ commands,,
308,,,,SELECT and SELECT DISTINT statements,,
309,,,,Conditional operators,,
310,,,,"Reading SQLite Database file (.sqlite3, .sqlite, .db) as pandas df ",,
311,,,,SQLite,,
312,,,,File extensions,,
313,,,,LIKE and ILIKE,,
314,,,,ADVANCED SQL COMMANDS,,
315,,,,TIMESTAMP & EXTRACT,,
316,,,,SUB-QUERY ,,
317,,,,SELF JOIN,,
318,,,,DATA/ DATA STRUCTURE TYPES IN SQL,,
319,,,,Primary Key and Foreign Key,,
320,,,,CONSTRAINTS IN SQL,,
321,,,,CREATING DATABASES & TABLES,,
322,,,,CONDITIONAL EXPRESSIONS & PROCEDURES,,
323,,,,"
Simple View and Complex View",,
324,,,,Syntax for the CREATE VIEW,,
325,,,,SQL queries in Python,,
326,,,,> First install postgreesql and then pgadmin (needs windows 64 bit),,
327,,,,Ways to see the files inside a .tar or .tar.gz file (zip file) without uncompressing by winzip,,
328,,,,SQL aliases,,
329,,,,Different Types of SQL JOINs,,
330,,,,MOD() function,,
331,,,,"CREATE DATABASE, DROP DATABASE and BACKUP DATABASE",,
332,,,,CREATE TABLE in SQL,,
333,,,,DELETE in SQL,,
334,,,,SQL TRUNCATE TABLE ,,
335,,,,SQL ALTER TABLE ,,
336,,,,SQL string datatypes,,
337,,,,INSERT INTO in SQL,,
338,,,,UPDATE in SQL,,
339,,,,SQL CHECK ,,
340,,,,UNION in SQL,,
341,,,,SQL TIMESTAMP and DATETIME ,,
342,,,,SQL trigger,,
343,,,,SQL NOT IN,,
344,,,,Operation with Null values in SQL,,
345,,,,SQL CONCAT,,
346,,,,SQL and String,,
347,,,,Temporary table and Heap table,,
348,,,,Sequence in SQL,,
349,,,,In SQL When we need an exact copy of a table with all columns and indexes,,
350,,,,Super Key and Candidate Key,,
351,,,,Main branches of pure mathematics,,
352,,,,Application of mathematics in machine learning,,
353,,,,Radian measure,,
354,,,,Machine Learning Use Cases of Calculus,,
355,,,,Basics of derivative ,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Tangent_to_a_curve.svg/1200px-Tangent_to_a_curve.svg.png
356,,,,The chain rule,,
357,,,,Point of maxima and point of minima,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Extrema_example_original.svg/1200px-Extrema_example_original.svg.png
358,,,,Partial Derivatives,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Partial_func_eg.svg/250px-Partial_func_eg.svg.png
359,,,,"Ways to find the slope of f(x,y)",,
360,,,,Jacobian Matrix,,
361,,,,Derivatives Formulas ,,
362,,,,Definite Integrals,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Integral_example.svg/1200px-Integral_example.svg.png
363,,,,Formulas for integration,,
364,,,,Basics of Limit,,
365,,,,Solution method of limit of indeterminate form,,
366,,,, fraction,,
367,,,,Sub-branches of Algebra ,,
368,,,,Linear algebra,,
369,,,,"Scaler, Vector, Matrix and Tensor",,https://www.codingem.com/wp-content/uploads/2022/02/scalar-vector-matrix-tensor-1024x536.png
370,,,,Dimension and Direction,,
371,,,,position vector/ location vector/ radius vector,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Radius_vector_-_position_vector_-_ortsvektor_-_radijvektor.svg/1200px-Radius_vector_-_position_vector_-_ortsvektor_-_radijvektor.svg.png
372,,,,Applications of Linear Algebra in Data Science,,
373,,,,Vector operations,,
374,,,,Vector Dot Product,,
375,,,,Vector Projection,,
376,,,,Vector Cross product,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Cross_product_parallelogram.svg/220px-Cross_product_parallelogram.svg.png
377,,,,Vector norms,,
378,,,,Representing multivariable linear equation in vector space,,
379,,,,Multivariable linear equations,,
380,,,,Visualization of vector,,https://5.imimg.com/data5/GK/QS/CU/SELLER-78568585/piping-stress-analysis-500x500.jpg
381,,,,Types of Matrices,,
382,,,,Matrix operations,,
383,,,,Matrix multiplication,,
384,,,,Equation in matrix form,,
385,,,,Identity matrix,,
386,,,,Determinant of a matrix,,
387,,,,Transpose of a matrix,,
388,,,,Adjoint of a matrix,,
389,,,,cofactor matrix ,,
390,,,,Inverse of a matrix ,,
391,,,,Eigenvalues and Eigenvectors of a square matrix,,
392,,,,Use of eigen values and eigen vectors,,
393,,,,Nilpotent matrix ,,
394,,,,Importance of Probability theory ,,
395,,,,Set Theory,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Venn_A_subset_B.svg/1200px-Venn_A_subset_B.svg.png
396,,,,"Experiment, sample space, observation and experience",,
397,,,,Intersection and Union of Sets,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/PolygonsSetIntersection.svg/220px-PolygonsSetIntersection.svg.png
398,,,,Mutually exclusive sets,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Disjunkte_Mengen.svg/1200px-Disjunkte_Mengen.svg.png
399,,,,Permutation & Combination (Counting),,https://upload.wikimedia.org/wikipedia/commons/7/79/Permutation.png
400,,,,Basic Probability,,
401,,,,Probability Axiom#1,,
402,,,,Probability Axiom#2,,
403,,,,Probability Axiom#3 or Special Addition Rule,,
404,,,,Addition Rule,,
405,,,,Conditional Probability,,
406,,,,Multiplication Rule,,
407,,,,Solving any set or probability problem,,
408,,,,Difference between mutually exclusive and independent events,,
409,,,,Basics of Summarizing Data,,
410,,,,"Numerical, Categorical, Dichotomous, and Ordinal Data",,
411,,,,1. Measure of central tendency ,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Comparison_mean_median_mode.svg/300px-Comparison_mean_median_mode.svg.png
412,,,,Understanding Mean,,
413,,,,Understanding Median,,
414,,,,Understanding Mode,,
415,,,,2. Measure of spread,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Comparison_standard_deviations.svg/1200px-Comparison_standard_deviations.svg.png
416,,,,Understanding Range,,
417,,,,Understanding Variance,,
418,,,,Understanding Standard Deviation,,
419,,,,Understanding Interquartile Range,,
420,,,,Steps to Calculate IQR,,
421,,,,Outliers with respect to IQR,,
422,,,,3. Measures of Symmetry,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Relationship_between_mean_and_median_under_different_skewness.png/434px-Relationship_between_mean_and_median_under_different_skewness.png
423,,,,Understanding skewness,,
424,,,,Libraries for Summarizing Data,,
425,,,,Skewness and Kurtosis measurements,,
426,,,,Understanding random variable,,
427,,,,Python Code for Random Variables,,
428,,,,Random seed,,
429,,,,Types of Random Variables,,
430,,,,Continuous and Discrete Random variables using numpy array,,
431,,,,Discrete Random Variables in Probability Distribution,,
432,,,,Continuous Random Variables in Probability Distribution ,,
433,,,,Mean of Random Variables,,
434,,,,Variance of Random Variables,,
435,,,,"Point probability, cumulative probability",,
436,,,,Formulas for expectation and variance,,
437,,,,Basics of Probability distribution,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Combined_Cumulative_Distribution_Graphs.png/455px-Combined_Cumulative_Distribution_Graphs.png
438,,,,Types of Discrete Probability Distribution,,
439,,,,1. Uniform Distribution-discrete,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Uniform_discrete_pmf_svg.svg/1200px-Uniform_discrete_pmf_svg.svg.png
440,,,,2. Bernoulli Distribution,,https://upload.wikimedia.org/wikipedia/commons/7/74/Bernoulli_Distribution.PNG
441,,,,3. Binomial Distribution,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Binomial_distribution_pmf.svg/1200px-Binomial_distribution_pmf.svg.png
442,,,,4. Geometric Distribution,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Geometric_pmf.svg/450px-Geometric_pmf.svg.png
443,,,,5. Poisson Distribution-,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Poisson_pmf.svg/1200px-Poisson_pmf.svg.png
444,,,,Moments of probability distribution,,
445,,,,Moments in Physics,,
446,,,,Basics of continuous distribution,,
447,,,,Types of continuous probability distribution,,
448,,,,1. Uniform Distribution-continuous,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Uniform_Distribution_PDF_SVG.svg/800px-Uniform_Distribution_PDF_SVG.svg.png
449,,,,2. Normal or Gaussian Distribution,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Normal_Distribution_PDF.svg/1200px-Normal_Distribution_PDF.svg.png
450,,,,3. Standard Normal Distribution- ,,https://www.scribbr.com/wp-content/uploads/2020/10/standard-normal-distribution.png
451,,,,4. Exponential Distribution,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Exponential_probability_density.svg/1200px-Exponential_probability_density.svg.png
452,,,,Gamma Function,,
453,,,,5. Gamma Distribution,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Gamma_distribution_pdf.svg/1200px-Gamma_distribution_pdf.svg.png
454,,,,6. Chi-square Distribution,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Chi-square_pdf.svg/1200px-Chi-square_pdf.svg.png
455,,,,7. t-Distribution ,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Student_t_pdf.svg/1200px-Student_t_pdf.svg.png
456,,,,8. F-Distribution,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/F-distribution_pdf.svg/1200px-F-distribution_pdf.svg.png
457,,,,log-normal distribution ,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Log-normal-pdfs.png/300px-Log-normal-pdfs.png
458,,,,Exponential expressions,,
459,,,,Euler's number,,
460,,,,Python Code for Continuous Distributions,,
461,,,,Continuous distributions in ML,,
462,,,,Most frequent types of distribution for data scientist:,,
463,,,,Basics of Joint Distribution,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Multivariate_normal_sample.svg/300px-Multivariate_normal_sample.svg.png
464,,,,Two dimensional random vector,,
465,,,,Marginal Distribution and Conditional Distribution,,
466,,,,Independent Random Variables ,,
467,,,,Probability mass function,,
468,,,,Degree of association,,
469,,,,Understanding of Covariance ,,
470,,,,Understanding of Correlation,,
471,,,,Basics of Sampling & Statistical Inference,,https://biguru.files.wordpress.com/2015/01/introduction-to-statistical-inference.jpg
472,,,,Random sample,,
473,,,,Understanding of Statistics,,
474,,,,Statistical Inference ,,
475,,,,Sample Mean and Sample Variance,,
476,,,,Independent and indentically distributed (IID) random variables,,
477,,,,Sampling with Replacement,,
478,,,,Central Limit Theorem (CLT) or z-results or z-score,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/IllustrationCentralTheorem.png/400px-IllustrationCentralTheorem.png
479,,,,t-Result or t-Score,,
480,,,,F-result or F-Score,,
481,,,,Point Estimation,,
482,,,,Mean and Expectation,,
483,,,,Basics of Confidence interval,,https://upload.wikimedia.org/wikipedia/commons/7/7a/Margarinefilling.png
484,,,,Calculating population parameters for one sample,,
485,,,,Population proportion for binomial experiment,,
486,,,,Calculating population parameters for two samples from difference population,,
487,,,,Pooled variance,,
488,,,,Confidence limits,,
489,,,,Sampling schemes from best to worst,,
490,,,,Basics of Hypothesis Testing,,
491,,,,Rare Event Rule for Inferential Statistics,,
492,,,,Components of a formal hypothesis test,,
493,,,,Null Hypothesis : H0,,
494,,,,Alternative Hypothesis : HA,,
495,,,,Identifying the null and alternative hypothesis,,
496,,,,Test Statistic,,
497,,,,Significance Level,,
498,,,,Critical Region,,
499,,,,Critical Value,,
500,,,,"Two-tailed, Right-tailed, Left-tailed Tests",,http://www.statisticsfromatoz.com/uploads/7/3/2/1/73216723/comparison-table_3_orig.png
501,,,,P-value or probability value,,https://upload.wikimedia.org/wikipedia/en/0/00/P-value_Graph.png
502,,,,Conclusions in Hypothesis Testing based on P-value,,
503,,,,Type-I error,,
504,,,,Type-II error,,
505,,,,Power of a hypothesis test,,
506,,,,encoding and decoding,,
507,,,,Quantum computing,,
508,,,,Blockchain,,
509,,,,Degrees of Freedom,,
510,,,,Understanding computer science,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/AI-ML-DL.svg/220px-AI-ML-DL.svg.png
511,,,,Understanding convensional programming,,
512,,,,Types of Computer languages,,
513,,,,"Programming language (1GL,2GL,3GL) vs scripting language (4GL,5GL)",,
514,,,,AI technique,,
515,,,,Basics of machine learning,,
516,,,,Basics of deep learning,,
517,,,,Basics of data science,,
518,,,,Role of a data scientist,,
519,,,,Difference between Business Analyst and Data Scientist,,
520,,,,Predictive ML model,,
521,,,,Meaning of heuristic technique,,
522,,,,Comparison between Heuristic technique and ML technique,,
523,,,,Types of learning models,,
524,,,,Application of regression model,,
525,,,,Application of classification model,,
526,,,,Application of Clustering model,,
527,,,,Components of reinforcement learning,,
528,,,,Application of Reinforcement learning model,,
529,,,,"Supervised, parametric, regression algorithm",,
530,,,,Basics of linear regression,,https://upload.wikimedia.org/wikipedia/commons/b/be/Normdist_regression.png
531,,,,Error or residuals,,
532,,,,Loss function and cost function,,
533,,,,Types of loss function,,
534,,,,OLS method for finding out the model parameters,,
535,,,,"
Gradient Descent Fundamentals",,https://images.deepai.org/glossary-terms/dd6cdd6fcfea4af1a1075aac0b5aa110/sgd.png
536,,,,"
Assumptions of regression",,
537,,,,Multicollinearity issue,,
538,,,,Heteroscedasticity issue,,
539,,,,Properties of regression line,,
540,,,,Advantages of linear regression,,
541,,,,Limitations of linear regression,,
542,,,,Data preparation for linear regression,,
543,,,,PyTorch,,
544,,,,Omission of relevant variable from a regression equation,,
545,,,,Visualizing Linear Regression,,
546,,,,Understanding of Feature scaling ,,
547,,,,Difference bwteen Matrix and metric,,
548,,,,Libraries for linear regression,,
549,,,,Importance of csv file,,
550,,,,Implementation Steps of Linear Regression,,
551,,,,transform and fit_transform,,
552,,,,Optimal Model,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Bias_and_variance_contributing_to_total_error.svg/220px-Bias_and_variance_contributing_to_total_error.svg.png
553,,,,Underfit Model,,
554,,,,Overfit Model,,https://1.cms.s81c.com/sites/default/files/2021-03-03/model-over-fitting.png
555,,,,Understanding Estimator,,
556,,,,Polynomial model ,,
557,,,,Conversion of Categorical column to numerical,,
558,,,,Multi Label columns to Binary,,
559,,,,Number-String to numerical value,,
560,,,,"Noise, Underfittiing, Overfitting and Overgeneralizing ",,
561,,,,Basics of Regularized Linear Regression,,
562,,,,Types of Regularization,,http://ethen8181.github.io/machine-learning/regularization/images/lasso_ridge_coefficients.png
563,,,,Ridge Regression (L2 Regularization),,
564,,,,Lasso Regression (L1 Regularization),,
565,,,,Libraries for Regularized Linear Regression,,
566,,,,Alpha value,,
567,,,,Variance Inflation Factor (VIF) ,,
568,,,,Cross validation Basics,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/K-fold_cross_validation_EN.svg/250px-K-fold_cross_validation_EN.svg.png
569,,,,Simple Validation vs Cross Validation,,
570,,,,k-fold CV,,
